"","wave","happiness","religionmem","freedom","health","income"
"209",1,2,2,6,2,10
"210",1,1,1,8,2,9
"211",1,2,2,10,1,5
"212",1,3,2,2,5,7
"213",1,1,2,8,2,10
"214",1,2,2,8,2,10
"215",1,2,2,4,3,10
"216",1,1,2,7,1,7
"217",1,2,2,9,1,10
"218",1,2,2,4,2,10
"219",1,2,2,6,2,8
"220",1,NA,2,8,4,NA
"221",1,2,2,7,1,10
"222",1,2,2,6,2,8
"223",1,1,2,10,1,10
"224",1,3,2,3,5,7
"225",1,2,2,7,1,9
"226",1,2,2,8,3,8
"227",1,3,1,5,3,9
"228",1,2,2,NA,3,NA
"229",1,2,2,10,3,10
"230",1,1,2,8,1,8
"231",1,2,2,10,3,NA
"232",1,2,2,10,1,2
"233",1,1,2,10,1,9
"234",1,2,2,9,2,10
"235",1,2,2,8,2,NA
"236",1,1,2,8,3,10
"237",1,2,2,4,1,9
"238",1,2,2,8,3,10
"239",1,1,2,9,3,9
"240",1,1,2,6,1,NA
"241",1,2,2,5,1,10
"242",1,2,2,8,1,10
"243",1,2,2,8,2,10
"244",1,1,1,9,2,10
"245",1,1,2,8,2,9
"246",1,3,2,8,2,7
"247",1,2,2,5,3,NA
"248",1,1,2,9,2,6
"249",1,1,2,10,2,3
"250",1,2,2,8,2,3
"251",1,2,2,7,2,10
"252",1,1,2,7,5,NA
"253",1,1,2,8,1,6
"254",1,2,2,8,3,7
"255",1,2,2,9,2,4
"256",1,1,1,5,1,7
"257",1,2,2,9,1,NA
"258",1,1,2,10,1,9
"259",1,2,1,9,1,10
"260",1,2,2,6,1,5
"261",1,3,2,NA,1,NA
"262",1,2,2,8,3,4
"263",1,2,2,NA,3,5
"264",1,2,1,7,2,NA
"265",1,2,2,10,2,NA
"266",1,1,2,3,2,3
"267",1,3,2,1,1,NA
"268",1,2,2,8,3,10
"269",1,1,1,8,1,10
"270",1,1,2,9,2,10
"271",1,2,2,9,3,10
"272",1,2,2,NA,3,10
"273",1,2,2,9,1,10
"274",1,2,2,9,2,1
"275",1,1,1,10,2,NA
"276",1,2,2,9,3,9
"277",1,1,2,10,1,8
"278",1,2,2,9,2,6
"279",1,2,2,5,5,2
"280",1,2,2,9,4,3
"281",1,1,2,10,3,NA
"282",1,NA,2,8,3,2
"283",1,1,2,9,2,6
"284",1,1,2,9,3,4
"285",1,1,1,9,1,8
"286",1,3,1,6,3,2
"287",1,2,1,8,2,7
"288",1,1,1,9,1,3
"289",1,2,1,9,3,7
"290",1,2,1,8,2,10
"291",1,2,2,10,1,NA
"292",1,2,1,9,2,10
"293",1,2,2,9,1,10
"294",1,1,2,8,2,10
"295",1,2,2,9,2,NA
"296",1,2,1,8,2,10
"297",1,2,1,7,3,2
"298",1,1,2,9,1,7
"299",1,NA,1,5,3,NA
"300",1,2,2,6,2,9
"301",1,2,2,1,3,NA
"302",1,2,1,8,3,7
"303",1,1,1,7,3,3
"304",1,2,2,9,1,NA
"305",1,1,1,10,1,9
"306",1,2,1,8,2,10
"307",1,2,2,5,4,2
"308",1,2,1,6,4,3
"309",1,1,1,9,3,NA
"310",1,1,1,8,1,7
"311",1,3,2,10,1,8
"312",1,2,2,9,2,3
"313",1,1,1,5,2,8
"314",1,2,2,6,3,7
"315",1,1,2,10,2,9
"316",1,1,2,3,3,NA
"317",1,2,1,8,1,8
"318",1,2,2,8,2,10
"319",1,2,2,8,3,10
"320",1,2,2,9,3,8
"321",1,2,2,7,1,10
"322",1,1,1,7,3,8
"323",1,2,1,9,1,10
"324",1,2,2,9,2,10
"325",1,2,2,1,2,4
"326",1,1,2,9,2,9
"327",1,NA,2,3,NA,NA
"328",1,1,2,8,3,7
"329",1,2,2,9,2,7
"330",1,2,2,4,1,10
"331",1,2,2,4,5,2
"332",1,2,2,NA,3,3
"333",1,2,1,9,3,6
"334",1,2,2,4,1,10
"335",1,2,1,8,2,10
"336",1,2,2,7,1,NA
"337",1,2,2,6,3,7
"338",1,1,2,6,1,10
"339",1,2,2,1,3,10
"340",1,2,2,6,1,5
"341",1,3,2,6,2,NA
"342",1,2,2,9,1,NA
"343",1,2,2,6,3,2
"344",1,2,1,5,2,3
"345",1,2,2,NA,3,4
"346",1,2,2,9,3,5
"347",1,1,2,8,1,10
"348",1,2,1,8,2,9
"349",1,3,2,5,5,6
"350",1,2,2,10,2,NA
"351",1,2,2,10,3,9
"352",1,2,2,9,3,8
"353",1,NA,1,NA,2,9
"354",1,2,2,6,4,8
"355",1,2,2,1,1,10
"356",1,2,1,8,1,9
"357",1,1,2,10,2,10
"358",1,2,2,9,3,6
"359",1,1,2,10,1,NA
"360",1,2,2,5,2,7
"361",1,1,2,6,1,NA
"362",1,2,2,6,1,NA
"363",1,2,2,8,2,4
"364",1,2,1,9,2,9
"365",1,2,2,9,1,NA
"366",1,1,2,3,2,NA
"367",1,2,2,5,2,10
"368",1,1,2,9,1,4
"369",1,2,1,10,1,3
"370",1,2,1,10,2,4
"371",1,2,2,3,2,10
"372",1,1,1,9,1,NA
"373",1,2,2,5,1,8
"374",1,2,2,10,1,7
"375",1,2,2,10,3,6
"376",1,2,2,7,3,6
"377",1,2,2,8,3,10
"378",1,2,1,7,3,5
"379",1,2,2,8,1,7
"380",1,1,2,8,2,8
"381",1,3,2,9,2,NA
"382",1,2,2,8,2,NA
"383",1,2,1,8,2,8
"384",1,2,1,9,1,10
"385",1,1,1,NA,3,4
"386",1,2,1,8,1,10
"387",1,2,2,2,1,8
"388",1,2,2,9,1,9
"389",1,1,1,10,1,10
"390",1,1,2,5,2,10
"391",1,2,2,10,2,NA
"392",1,2,2,8,1,8
"393",1,2,1,5,2,10
"394",1,3,2,9,2,7
"395",1,1,2,8,1,10
"396",1,2,2,9,2,10
"397",1,2,2,8,1,10
"398",1,3,2,4,2,9
"399",1,2,2,8,2,5
"400",1,2,2,5,3,2
"401",1,2,2,10,2,10
"402",1,2,1,8,2,10
"403",1,2,2,5,2,NA
"404",1,2,2,8,2,6
"405",1,2,2,8,2,NA
"406",1,2,2,2,3,10
"407",1,1,2,9,3,1
"408",1,2,2,7,1,NA
"409",1,1,2,10,2,6
"410",1,2,2,5,2,5
"411",1,2,1,8,1,6
"412",1,1,2,9,1,8
"413",1,3,2,8,1,NA
"414",1,2,2,8,1,NA
"415",1,2,2,8,3,NA
"416",1,NA,2,5,1,10
"417",1,1,2,9,2,NA
"418",1,2,1,9,1,NA
"419",1,2,2,8,2,7
"420",1,3,2,6,4,6
"421",1,2,2,7,2,NA
"422",1,1,2,10,2,5
"423",1,1,1,10,1,4
"424",1,1,2,9,2,10
"425",1,2,2,10,1,NA
"426",1,2,1,7,2,6
"427",1,2,2,2,2,10
"428",1,3,2,6,2,5
"429",1,2,2,3,2,6
"430",1,3,2,5,3,6
"431",1,1,2,10,1,10
"432",1,2,1,5,2,10
"433",1,2,2,10,2,NA
"434",1,4,2,5,4,5
"435",1,2,2,4,2,5
"436",1,3,1,9,3,NA
"437",1,2,2,9,2,10
"438",1,2,2,7,2,10
"439",1,2,2,10,2,9
"440",1,2,2,8,1,2
"441",1,3,2,3,3,9
"442",1,2,2,5,2,9
"443",1,1,2,8,1,8
"444",1,2,2,6,2,10
"445",1,1,2,9,1,10
"446",1,2,1,8,2,NA
"447",1,1,2,7,1,6
"448",1,2,2,8,2,9
"449",1,1,2,10,5,4
"450",1,1,2,10,1,3
"451",1,2,2,9,2,9
"452",1,2,2,8,1,9
"453",1,2,2,10,2,7
"454",1,1,1,10,1,10
"455",1,2,2,8,1,5
"456",1,3,1,6,4,6
"457",1,1,1,9,2,9
"458",1,2,1,9,3,3
"459",1,1,1,9,1,10
"460",1,2,2,8,1,9
"461",1,2,2,4,1,8
"462",1,2,1,1,2,7
"463",1,1,2,6,4,4
"464",1,1,2,9,3,8
"465",1,1,2,10,3,8
"466",1,2,1,6,2,10
"467",1,2,2,5,2,10
"468",1,2,2,4,2,7
"469",1,2,2,5,1,6
"470",1,2,2,5,3,9
"471",1,3,2,4,3,8
"472",1,2,2,3,2,10
"473",1,3,2,9,3,10
"474",1,1,1,5,4,NA
"475",1,2,1,9,1,9
"476",1,2,2,10,2,10
"477",1,2,2,9,2,8
"478",1,2,1,8,1,10
"479",1,2,2,10,2,8
"480",1,3,2,9,2,6
"481",1,2,1,10,1,NA
"482",1,1,2,5,1,6
"483",1,2,2,6,2,4
"484",1,2,2,9,1,NA
"485",1,2,1,10,2,7
"486",1,1,1,10,1,NA
"487",1,2,1,8,3,5
"488",1,2,2,8,2,10
"489",1,2,2,8,3,5
"490",1,2,2,7,1,10
"491",1,2,2,10,2,NA
"492",1,2,2,5,1,8
"493",1,2,2,10,2,8
"494",1,2,2,7,1,10
"495",1,1,2,8,1,10
"496",1,2,2,5,3,NA
"497",1,1,1,9,3,NA
"498",1,1,2,8,2,NA
"499",1,1,2,9,2,9
"500",1,2,1,6,2,9
"501",1,2,2,6,3,1
"502",1,2,1,8,2,5
"503",1,2,2,10,1,4
"504",1,2,2,3,2,7
"505",1,1,2,7,3,5
"506",1,1,2,8,1,5
"507",1,2,2,4,2,9
"508",1,3,2,7,1,4
"509",1,2,1,10,3,4
"510",1,1,2,6,1,NA
"511",1,2,1,8,2,10
"512",1,2,1,2,2,10
"513",1,3,2,7,1,NA
"514",1,2,1,5,1,NA
"515",1,2,2,10,2,NA
"516",1,1,2,7,1,NA
"517",1,2,2,9,1,4
"518",1,2,2,9,3,4
"519",1,2,2,6,2,10
"520",1,2,2,9,2,10
"521",1,1,1,7,1,10
"522",1,2,2,9,1,2
"523",1,2,1,9,3,NA
"524",1,1,1,10,3,4
"525",1,2,2,1,1,9
"526",1,3,1,6,3,5
"527",1,3,2,5,3,7
"528",1,3,2,8,1,10
"529",1,2,1,5,4,3
"530",1,1,2,5,2,10
"531",1,2,1,8,1,NA
"532",1,2,1,4,3,NA
"533",1,2,1,7,2,10
"534",1,1,2,7,2,NA
"535",1,1,2,10,2,8
"536",1,1,1,10,1,5
"537",1,2,2,9,2,9
"538",1,2,2,8,2,10
"539",1,2,2,5,3,NA
"540",1,2,2,3,1,4
"541",1,3,2,7,2,8
"542",1,2,2,5,2,1
"543",1,1,2,10,1,NA
"544",1,1,2,10,1,6
"545",1,3,2,7,3,6
"546",1,2,2,NA,5,7
"547",1,2,1,10,1,10
"548",1,2,2,5,2,5
"549",1,1,2,10,2,NA
"550",1,2,2,8,2,8
"551",1,2,1,10,2,NA
"552",1,2,2,1,2,NA
"553",1,3,2,5,2,10
"554",1,2,2,8,2,7
"555",1,4,2,8,1,10
"556",1,2,2,2,3,10
"557",1,2,2,6,3,9
"558",1,1,2,5,2,1
"559",1,1,2,7,2,10
"560",1,1,2,8,1,9
"561",1,3,2,6,3,7
"562",1,2,1,10,1,10
"563",1,3,2,5,2,9
"564",1,1,1,9,1,10
"565",1,1,1,7,2,10
"566",1,3,2,10,2,8
"567",1,2,2,7,2,7
"568",1,3,2,5,4,7
"569",1,2,2,6,1,2
"570",1,3,2,5,4,6
"571",1,2,2,NA,2,5
"572",1,1,2,10,5,3
"573",1,2,1,8,1,10
"574",1,2,2,3,1,10
"575",1,3,2,1,4,NA
"576",1,2,2,5,2,NA
"577",1,2,2,7,3,NA
"578",1,2,2,7,2,10
"579",1,2,2,7,3,8
"580",1,2,2,5,2,6
"581",1,1,1,10,2,9
"582",1,2,2,8,1,NA
"583",1,1,2,8,2,10
"584",1,2,2,4,2,8
"585",1,2,2,6,2,10
"586",1,3,2,6,4,8
"587",1,2,2,9,2,9
"588",1,1,2,6,2,7
"589",1,1,2,7,2,10
"590",1,1,2,10,2,10
"591",1,2,2,1,2,8
"592",1,2,2,8,2,8
"593",1,2,2,8,2,NA
"594",1,2,2,5,1,5
"595",1,2,2,8,2,3
"596",1,3,2,6,2,6
"597",1,2,1,5,1,10
"598",1,3,2,7,4,10
"599",1,2,2,9,2,10
"600",1,2,2,7,2,8
"601",1,2,2,9,3,9
"602",1,2,2,10,3,7
"603",1,2,2,5,2,NA
"604",1,1,2,10,1,NA
"605",1,1,2,8,2,10
"606",1,1,2,10,3,9
"607",1,2,2,5,2,10
"608",1,3,2,4,3,3
"609",1,2,2,8,2,7
"610",1,2,2,4,1,8
"611",1,2,2,8,2,NA
"612",1,1,2,9,1,10
"613",1,2,1,8,1,10
"614",1,2,2,8,2,10
"615",1,1,1,9,2,10
"616",1,1,2,8,2,9
"617",1,1,2,9,2,10
"618",1,2,2,10,2,10
"619",1,1,1,6,2,NA
"620",1,1,2,6,1,10
"621",1,1,2,5,1,10
"622",1,2,2,10,1,10
"623",1,2,2,6,2,10
"624",1,2,1,5,1,10
"625",1,2,2,10,2,10
"626",1,3,2,10,1,8
"627",1,2,2,8,2,9
"628",1,3,2,5,3,8
"629",1,2,2,5,3,7
"630",1,3,2,5,4,NA
"631",1,2,1,8,1,10
"632",1,2,1,6,2,NA
"633",1,1,2,8,2,10
"634",1,1,2,9,1,10
"635",1,1,2,7,1,10
"636",1,2,2,8,1,10
"637",1,2,2,4,2,10
"638",1,2,1,NA,2,10
"639",1,1,2,6,2,7
"640",1,3,2,8,2,7
"641",1,3,2,3,4,10
"642",1,1,2,9,2,5
"643",1,4,2,9,3,9
"644",1,2,2,5,2,10
"645",1,2,2,4,2,9
"646",1,1,2,7,2,7
"647",1,1,2,8,1,10
"648",1,2,2,10,1,NA
"649",1,2,2,7,1,9
"650",1,1,2,8,3,10
"651",1,2,1,8,2,10
"652",1,2,2,5,3,10
"653",1,2,1,5,3,6
"654",1,2,2,10,4,3
"655",1,2,2,5,1,7
"656",1,2,2,8,1,10
"657",1,2,2,5,3,NA
"658",1,1,2,9,2,5
"659",1,2,2,9,3,1
"660",1,2,1,5,2,10
"661",1,2,2,7,2,10
"662",1,1,1,6,1,8
"663",1,2,1,8,1,10
"664",1,2,2,7,1,8
"665",1,2,2,5,2,7
"666",1,2,2,9,1,10
"667",1,2,2,7,2,8
"668",1,2,2,8,2,10
"669",1,3,1,8,1,NA
"670",1,1,2,8,1,10
"671",1,2,2,9,2,8
"672",1,1,2,9,2,6
"673",1,2,2,7,3,4
"674",1,1,2,10,2,3
"675",1,2,1,5,2,6
"676",1,2,2,8,2,9
"677",1,2,2,8,1,10
"678",1,2,1,4,1,10
"679",1,2,1,7,1,10
"680",1,2,2,8,3,5
"681",1,2,2,10,3,5
"682",1,1,2,8,2,10
"683",1,1,1,8,2,9
"684",1,1,2,5,2,10
"685",1,2,2,8,1,7
"686",1,2,2,10,3,8
"687",1,1,2,8,2,NA
"688",1,1,1,9,2,10
"689",1,2,1,7,2,10
"690",1,1,2,7,1,10
"691",1,3,2,9,4,7
"692",1,2,2,8,2,3
"693",1,1,2,5,NA,10
"694",1,1,2,10,1,10
"695",1,2,2,7,2,10
"696",1,1,2,7,5,NA
"697",1,2,2,8,1,10
"698",1,2,2,5,3,7
"699",1,2,2,7,2,NA
"700",1,4,1,1,3,NA
"701",1,2,1,7,2,9
"702",1,2,2,5,3,10
"703",1,2,2,8,1,10
"704",1,1,2,5,2,7
"705",1,2,2,6,1,10
"706",1,2,2,8,2,10
"707",1,2,2,5,4,4
"708",1,1,2,7,1,8
"709",1,3,1,7,1,7
"710",1,1,2,8,1,6
"711",1,2,2,9,2,10
"712",1,2,2,8,3,7
"713",1,1,2,9,1,10
"714",1,2,2,5,3,10
"715",1,2,1,10,3,NA
"716",1,2,1,8,2,10
"717",1,2,2,9,2,3
"718",1,2,2,8,2,10
"719",1,1,2,9,2,8
"720",1,2,2,8,2,9
"721",1,2,2,9,2,NA
"722",1,2,2,7,2,NA
"723",1,1,2,8,1,10
"724",1,2,2,9,2,4
"725",1,2,2,10,1,10
"726",1,2,1,10,3,7
"727",1,1,1,9,2,7
"728",1,1,1,9,1,10
"729",1,2,2,5,2,9
"730",1,1,1,9,1,10
"731",1,1,2,4,1,10
"732",1,2,2,8,2,3
"733",1,2,1,8,2,10
"734",1,1,1,10,4,10
"735",1,2,2,9,2,NA
"736",1,2,2,8,2,10
"737",1,2,1,5,3,NA
"738",1,1,1,5,1,7
"739",1,1,1,10,1,6
"740",1,1,2,10,1,7
"741",1,1,2,10,1,NA
"742",1,2,2,10,3,5
"743",1,2,2,9,2,NA
"744",1,1,2,9,1,10
"745",1,2,2,10,2,7
"746",1,2,2,8,2,10
