"","wave","Q288","Q252"
"351",3,8,3
"352",3,9,3
"353",3,9,3
"354",3,3,3
"355",3,3,4
"356",3,10,2
"357",3,9,3
"358",3,6,3
"359",3,2,2
"360",3,5,4
"361",3,9,4
"362",3,9,3
"363",3,10,4
"364",3,5,3
"365",3,8,3
"366",3,6,3
"367",3,6,2
"368",3,8,3
"369",3,7,3
"370",3,7,3
"371",3,5,2
"372",3,7,4
"373",3,8,3
"374",3,10,3
"375",3,10,3
"376",3,2,3
"377",3,3,3
"378",3,4,NA
"379",3,2,2
"380",3,5,3
"381",3,7,2
"382",3,9,3
"383",3,8,3
"384",3,5,3
"385",3,9,3
"386",3,8,3
"387",3,8,2
"388",3,7,4
"389",3,7,2
"390",3,10,3
"391",3,7,2
"392",3,9,3
"393",3,9,3
"394",3,NA,3
"395",3,8,2
"396",3,7,3
"397",3,8,3
"398",3,10,1
"399",3,10,2
"400",3,10,2
"401",3,10,3
"402",3,8,3
"403",3,5,3
"404",3,4,4
"405",3,6,3
"406",3,7,4
"407",3,4,2
"408",3,3,3
"409",3,6,3
"410",3,10,3
"411",3,4,3
"412",3,7,3
"413",3,7,3
"414",3,4,3
"415",3,4,3
"416",3,8,2
"417",3,6,3
"418",3,8,3
"419",3,8,3
"420",3,7,4
"421",3,8,3
"422",3,8,4
"423",3,10,2
"424",3,2,2
"425",3,4,4
"426",3,7,2
"427",3,NA,3
"428",3,NA,3
"429",3,NA,4
"430",3,7,4
"431",3,10,3
"432",3,7,2
"433",3,10,3
"434",3,8,2
"435",3,9,2
"436",3,9,2
"437",3,2,NA
"438",3,2,4
"439",3,8,2
"440",3,5,3
"441",3,3,2
"442",3,2,2
"443",3,1,1
"444",3,1,4
"445",3,10,3
"446",3,8,1
"447",3,10,4
"448",3,4,3
"449",3,5,3
"450",3,7,3
"451",3,5,2
"452",3,NA,3
"453",3,NA,3
"454",3,6,3
"455",3,9,3
"456",3,5,3
"457",3,5,3
"458",3,8,4
"459",3,7,4
"460",3,3,4
"461",3,3,4
"462",3,NA,2
"463",3,2,3
"464",3,7,4
"465",3,10,2
"466",3,7,2
"467",3,7,3
"468",3,6,3
"469",3,5,2
"470",3,9,2
"471",3,9,4
"472",3,9,2
"473",3,6,3
"474",3,NA,2
"475",3,NA,2
"476",3,3,3
"477",3,9,3
"478",3,10,3
"479",3,3,4
"480",3,4,1
"481",3,5,3
"482",3,4,2
"483",3,5,3
"484",3,8,3
"485",3,NA,4
"486",3,6,3
"487",3,5,3
"488",3,4,3
"489",3,4,3
"490",3,NA,3
"491",3,4,3
"492",3,NA,2
"493",3,6,4
"494",3,6,3
"495",3,NA,3
"496",3,5,3
"497",3,5,3
"498",3,3,2
"499",3,NA,4
"500",3,3,4
"501",3,9,2
"502",3,3,2
"503",3,3,2
"504",3,5,3
"505",3,9,3
"506",3,2,3
"507",3,3,3
"508",3,3,2
"509",3,8,3
"510",3,3,2
"511",3,4,2
"512",3,5,2
"513",3,2,1
"514",3,6,4
"515",3,5,4
"516",3,6,3
"517",3,7,3
"518",3,8,4
"519",3,6,3
"520",3,9,4
"521",3,9,3
"522",3,8,3
"523",3,9,3
"524",3,9,3
"525",3,5,3
"526",3,9,2
